"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"139728",5036.92713466475,1.887735316764,0.495688129144689,3.80831253720215,0.000139918359775338,0.0162228570404511
"4558",354.551325336625,2.43108758348185,0.638556194254751,3.80716310538516,0.000140570040032608,0.0162228570404511
"10320",13.9120960581645,-4.56358280161418,1.20058534673418,-3.80113151807823,0.000144036819907784,0.01651774139183
"7903",7.68740167086269,-6.42849455188263,1.69279987208937,-3.79755141636923,0.000146132471482708,0.0165587195452443
"6535",13979.003543989,1.22677344756347,0.323056184237805,3.79739967045618,0.000146221928762023,0.0165587195452443
"3049",33.5201087058038,-4.49331069373277,1.18612381986636,-3.7882307213416,0.000151723919272715,0.0170750664180268
"27202",11.8349172892225,-4.73710290242979,1.25356780320936,-3.77889643488128,0.000157524917016566,0.0176184813050813
"1917",779.476304171031,1.67741006118897,0.445666563275569,3.7638230000032,0.000167335345602197,0.0186009148893633
"3507",44.5375592766606,-4.66460692813992,1.24033949516923,-3.76075013841553,0.000169404579059431,0.0187161071218161
"342667",73.9171051104812,2.01892592438777,0.537177816300112,3.758394079438,0.00017100740140536,0.0187786854912952
"7349",47.9196195942891,1.90269158195236,0.506547952692994,3.7561924233174,0.000172518066700294,0.0188304509068832
"4485",328.708044021369,1.38920573894649,0.370467966408309,3.74986737022057,0.000176928123039313,0.018857415654996
"1589",59.240539908687,2.59718911947453,0.692327349725187,3.75138887768259,0.000175857692308739,0.018857415654996
"729633",77.24403445334,3.47076150483389,0.924762644848346,3.75313765555816,0.000174634892726807,0.018857415654996
"107987258",217.6540156827,2.80763527596271,0.74870543178849,3.74998651907186,0.000176844077276021,0.018857415654996
"11314",26.203133927336,-4.03736531511497,1.07725689457247,-3.74782035321045,0.000178377936169123,0.0189007592131481
"3045",1262.92100511485,-13.1944291747874,3.52872235753344,-3.73915197567717,0.000184642080350093,0.0194507549643217
"28638",11.3728591774152,-6.02026872602367,1.61156619484516,-3.73566332259912,0.000187221019826964,0.0195313005557432
"116988",1081.12282716569,1.07579342989162,0.28801458636265,3.73520467653345,0.000187562575015139,0.0195313005557432
"100125288",110.624868739762,2.37141007176469,0.636052224410013,3.72832604109569,0.000192755895915839,0.0199573947319948
"653316",125.050400351412,3.3498080028917,0.898918658966643,3.7264862281783,0.000194167676014808,0.0199893416006381
"102723382",13.5646747677686,7.15757846364911,1.92247319695899,3.72310962512826,0.000196784026584554,0.0201442360321217
"440894",15.6882533519492,-3.38564352425349,0.911489181283589,-3.71440889675258,0.000203679229331291,0.0205438340496513
"81578",167.088752575666,-1.74400052345119,0.469339363189065,-3.71586246591605,0.000202511722558083,0.0205438340496513
"2219",132.061807622822,-3.39430098181366,0.913945057371859,-3.71390047403321,0.000204089084879808,0.0205438340496513
"64856",293.318528415327,1.85551944401163,0.499936042187589,3.71151364861067,0.000206023556659745,0.0206239824481653
"57801",168.864457701648,1.50259284334213,0.405640585445482,3.70424680679314,0.000212019756261972,0.0211076151852235
"4210",19.6520596504346,-4.30737612646631,1.16357197159596,-3.70185620796478,0.000214027909696867,0.0211911021628281
"1230",26.3170740211812,-3.47205900653626,0.938969474385624,-3.69773363378831,0.000217532976051635,0.0213703290366967
"5055",20.250803927884,-3.97939531751709,1.07639672750722,-3.69695969508639,0.000218196968474469,0.0213703290366967
"7099",31.2071364987811,-3.30108539139275,0.893908312695416,-3.69286798714169,0.00022173914394857,0.0216004922000222
"126755",28.4560086612335,2.39987884354081,0.650996446402773,3.68646995970851,0.000227386269155887,0.0219149564406145
"101929347",8.56655581408635,6.48268141825724,1.75822624940198,3.68705757888792,0.00022686203961359,0.0219149564406145
"27321",26.5762183228797,5.13222455598312,1.39315550016946,3.6838849327005,0.000229705967098434,0.0220213884542673
